Entity,Year,Population,Age range,5 or under,5 to 14,15 to 24,25 to 64,65 or over
World,1978,811407134,15 to 24,,,,,
World,1979,827403932,15 to 24,,,,,
World,1980,844817999,15 to 24,,,,,
World,1981,863281509,15 to 24,,,,,
World,1982,882655107,15 to 24,,,,,
World,1983,902508676,15 to 24,,,,,
World,1984,922040413,15 to 24,,,,,
World,1985,940597544,15 to 24,,,,,
World,1986,956506512,15 to 24,,,,,
World,1987,971892382,15 to 24,,,,,
World,1988,986141303,15 to 24,,,,,
World,1989,998599873,15 to 24,,,,,
World,1990,1009042699,15 to 24,,,,,
World,1991,1015426818,15 to 24,,,,,
World,1992,1020821435,15 to 24,,,,,
World,1993,1025547670,15 to 24,,,,,
World,1994,1030261910,15 to 24,,,,,
World,1995,1035737534,15 to 24,,,,,
World,1996,1043456230,15 to 24,,,,,
World,1997,1050752848,15 to 24,,,,,
World,1998,1059113083,15 to 24,,,,,
World,1999,1070410827,15 to 24,,,,,
World,2000,1085431679,15 to 24,,,,,
World,2001,1102328020,15 to 24,,,,,
World,2002,1122964368,15 to 24,,,,,
World,2003,1145254315,15 to 24,,,,,
World,2004,1165850161,15 to 24,,,,,
World,2005,1182711474,15 to 24,,,,,
World,2006,1195876676,15 to 24,,,,,
World,2007,1205496289,15 to 24,,,,,
World,2008,1211630735,15 to 24,,,,,
World,2009,1214844667,15 to 24,,,,,
World,2010,1215716886,15 to 24,,,,,
World,2011,1214699568,15 to 24,,,,,
World,2012,1211182835,15 to 24,,,,,
World,2013,1206337039,15 to 24,,,,,
World,2014,1201936334,15 to 24,,,,,
World,2015,1199206623,15 to 24,,,,,
World,2016,1198460382,15 to 24,,,,,
World,2017,1199424427,15 to 24,,,,,
World,2018,1201897160,15 to 24,,,,,
World,2019,1205381570,15 to 24,,,,,
World,2020,1209583658,15 to 24,,,,,
World,1950,1075729380,25 to 64,,,,,
World,1951,1090360655,25 to 64,,,,,
World,1952,1105295083,25 to 64,,,,,
World,1953,1121477035,25 to 64,,,,,
World,1954,1139310831,25 to 64,,,,,
World,1955,1158561156,25 to 64,,,,,
World,1956,1173239551,25 to 64,,,,,
World,1957,1190615924,25 to 64,,,,,
World,1958,1209560199,25 to 64,,,,,
World,1959,1229198172,25 to 64,,,,,
World,1960,1249187619,25 to 64,,,,,
World,1961,1268469677,25 to 64,,,,,
World,1962,1287449585,25 to 64,,,,,
World,1963,1306668885,25 to 64,,,,,
World,1964,1326734322,25 to 64,,,,,
World,1965,1347672756,25 to 64,,,,,
World,1966,1364116543,25 to 64,,,,,
World,1967,1382152731,25 to 64,,,,,
World,1968,1401728060,25 to 64,,,,,
World,1969,1422858594,25 to 64,,,,,
World,1970,1445760209,25 to 64,,,,,
World,1971,1467884093,25 to 64,,,,,
World,1972,1492642064,25 to 64,,,,,
World,1973,1520043040,25 to 64,,,,,
World,1974,1550376534,25 to 64,,,,,
World,1975,1583767230,25 to 64,,,,,
World,1976,1616624929,25 to 64,,,,,
World,1977,1653043368,25 to 64,,,,,
